"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"86 St / 2 Av","MN","Q","ES283","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 WEST","N"
NA,"86 St / 2 Av","MN","Q","ES282","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 WEST","N"
NA,"86 St / 2 Av","MN","Q","ES273","ES","PLATFORM TO MEZZANINE","N"
NA,"86 St / 2 Av","MN","Q","ES275","ES","PLATFORM TO MEZZANINE","N"
NA,"86 St / 2 Av","MN","Q","ES274","ES","PLATFORM TO MEZZANINE","N"
NA,"86 St / 2 Av","MN","Q","EL249","EL","PLATFORM TO MEZZANINE","Y"
NA,"96 St","MN","1/2/3","EL145","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"96 St","MN","1/2/3","EL146","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"96 St / 2 Av","MN","Q","EL248","EL","MEZZANINE TO STREET","Y"
NA,"96 St / 2 Av","MN","Q","ES260","ES","MEZZANINE TO STREET LEVEL N-W","N"
NA,"96 St / 2 Av","MN","Q","ES259","ES","MEZZANINE TO STREET LEVEL N-W","N"
NA,"96 St / 2 Av","MN","Q","ES271","ES","MEZZANINE TO STREET LEVEL S-E","N"
NA,"96 St / 2 Av","MN","Q","ES270","ES","MEZZANINE TO STREET LEVEL S-E","N"
NA,"96 St / 2 Av","MN","Q","ES272","ES","MEZZANINE TO STREET LEVEL S-E","N"
NA,"96 St / 2 Av","MN","Q","ES247","ES","MEZZANINE TO STREET LEVEL S-W","N"
NA,"96 St / 2 Av","MN","Q","ES220","ES","PLATFORM TO MEZZANINE","N"
NA,"96 St / 2 Av","MN","Q","ES202","ES","PLATFORM TO MEZZANINE","N"
NA,"96 St / 2 Av","MN","Q","EL247","EL","PLATFORM TO MEZZANINE","Y"
NA,"96 St / 2 Av","MN","Q","ES200","ES","PLATFORM TO MEZZANINE","N"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","ES358X","ES","LOWER MEZZANINE TO STREET","N"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","ES310","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL305","EL","MEZZANINE TO 4, 5 PLATFORM","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","D/N/R","EL302","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL304","EL","MEZZANINE TO DOWNTOWN 2,3 PLATFORM","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","D/N/R","EL303","EL","MEZZANINE TO UPTOWN","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL307","EL","MIDDLE MEZZANINE TO B,Q PLATFORM","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL300X","EL","STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL737X","EL","STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL700X","EL","STREET TO MEZZANINE","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","D/N/R","EL301","EL","STREET TO MEZZANINE","Y"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","ES359X","ES","STREET TO MEZZANINE","N"
