"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","ES310","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL305","EL","MEZZANINE TO 4, 5 PLATFORM","Y"
"Atlantic Av - Barclays Ctr","BKN","D/N/R","EL302","EL","MEZZANINE TO DOWNTOWN","Y"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL304","EL","MEZZANINE TO DOWNTOWN 2,3 PLATFORM","Y"
"Atlantic Av - Barclays Ctr","BKN","D/N/R","EL303","EL","MEZZANINE TO UPTOWN","Y"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL307","EL","MIDDLE MEZZANINE TO B,Q PLATFORM","Y"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL300X","EL","STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND","Y"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL737X","EL","STREET TO LIRR TERMINAL/NYCT 2/3 TRAINS NORTHBOUND","Y"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL700X","EL","STREET TO MEZZANINE","Y"
"Atlantic Av - Barclays Ctr","BKN","D/N/R","EL301","EL","STREET TO MEZZANINE","Y"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","ES359X","ES","STREET TO MEZZANINE","N"
"Atlantic Av - Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL306","EL","UPTOWN 2, 3 PLATFORM TO MEZZANINE","Y"
"Bay Pkwy","BKN","D/M","EL378","EL","MEZZANINE TO DOWNTOWN","Y"
"Bay Pkwy","BKN","D/M","EL377","EL","MEZZANINE TO UPTOWN","Y"
"Bay Pkwy","BKN","D/M","EL376","EL","STREET TO MEZZANINE","Y"
"Borough Hall","BKN","2/3/4/5","EL318","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y"
"Borough Hall","BKN","2/3/4/5","ES303","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"Borough Hall","BKN","2/3/4/5","EL317","EL","STREET TO MEZZANINE","Y"
"Bowery","MN","J/Z","ES334","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
"Bowling Green","MN","4/5","ES341","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N"
"Bowling Green","MN","4/5","ES340","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N"
"Bowling Green","MN","4/5","ES343","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
"Bowling Green","MN","4/5","ES342","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
"Bowling Green","MN","4/5","ES337","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"Bowling Green","MN","4/5","ES339","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"Bowling Green","MN","4/5","ES338","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
