nyca_id,name,location,serving
430,Cortlandt St,,Lower Mezzanine To Upper Mezzanine
430,Cortlandt St,,Transit Center
434,Broadway - Lafayette St,North side of Houston Street between Lafayette and Crosby Streets,Street To Mezzanine And Downtown 6 Platform
434,Broadway - Lafayette St,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform
434,Broadway - Lafayette St,,Uptown 6 Mezzanine To Uptown B/D/F/M Platform
434,Broadway - Lafayette St,,Downtown 6 Mezzanine To Uptown B/D/F/M Platform
434,Broadway - Lafayette St,,Downtown 6 Mezzanine To Downtown B/D/F/M Platform
434,Broadway - Lafayette St,,Northbound Platform To Mezzanine
436,Canal St,NE corner of Canal Street and Lafayette Street,Street To Uptown Platform
436,Canal St,NW corner of Canal Street and Lafayette Street,Street To Downtown Platform
438,34th St - Penn Station,SE corner of 34th Street and Eighth Avenue,Street To Uptown Local Platform
438,34th St - Penn Station,,Mezzanine To Downtown Local Platform
438,34th St - Penn Station,,Uptown Local Platform To Lower Mezzanine
438,34th St - Penn Station,,Mezzanine To Express Platform
439,Jackson Hts - Roosevelt Av,Roosevelt Avenue between 74th and 75th Streets,Middle Mezzanine To Street To Irt Mezzanine To Northbound Irt Platform(7)
439,Jackson Hts - Roosevelt Av,,Lower Mezzanine To Uptown E/F/M/R Platform
439,Jackson Hts - Roosevelt Av,,Mezzanine To Downtown 7
439,Jackson Hts - Roosevelt Av,,Mezzanine To Downtown E/F/M/R
439,Jackson Hts - Roosevelt Av,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,,Lower Mezzanine To Upper Mezzanine
439,Jackson Hts - Roosevelt Av,,Lower Mezzanine To Upper Mezzanine
445,14th St - 8 Av,,Mezzanine To L Platform
445,14th St - 8 Av,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine
445,14th St - 8 Av,,Mezzanine To Platform
445,14th St - 8 Av,,"Mezzanine To Uptown A,C&E Platform"
445,14th St - 8 Av,,"Mezzanine To Downtown A,C&E Platform"
46,Prospect Park,Lincoln Road between Flatbush Avenue and Ocean Avenue,Street To Uptown Platform
46,Prospect Park,Lincoln Road between Flatbush Avenue and Ocean Avenue,Street To Downtown Platform
460,Euclid Ave,NE corner of Euclid Avenue and Pitkin Avenue,Street To Mezzanine
460,Euclid Ave,,Mezzanine To Downtown
460,Euclid Ave,,Mezzanine To Uptown
469,125th St,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine
469,125th St,,Mezzanine To Uptown And Downtown Platforms
470,Coney Island - Stillwell Av,,3 Landings
470,Coney Island - Stillwell Av,,Overpass To D Platform
470,Coney Island - Stillwell Av,,Overpass To N Platform
471,Grand Central - 42nd St,,Street To Terminal/Mezzanine
471,Grand Central - 42nd St,,Upper Mezzanine To Street (Gc Terminal)
471,Grand Central - 42nd St,,Upper Mezzanine To Street (Gc Terminal)
471,Grand Central - 42nd St,,"Mezzanine To Downtown 4,5,6 Platform"
471,Grand Central - 42nd St,,Mezzanine To 7 Platform
471,Grand Central - 42nd St,,"Mezzanine To Uptown 4,5,6 Platform"
471,Grand Central - 42nd St,,Lower Mezzanine To Street (3rd Ave)
471,Grand Central - 42nd St,,Center Island Platform To Lower Mezzanine (West End)
471,Grand Central - 42nd St,,Center Island Platform To Lower Mezzanine (West End)
471,Grand Central - 42nd St,,Lower Mezzanine To Upper Mezzanine (West End)
471,Grand Central - 42nd St,,Unknown
471,Grand Central - 42nd St,,Lower Mezzanine To Upper Mezzanine (West End)
471,Grand Central - 42nd St,,Lower Mezzanine To Street (3rd Ave)
471,Grand Central - 42nd St,,Lower Mezzanine To Upper Mezzanine (Bowery)
471,Grand Central - 42nd St,,Unknown
471,Grand Central - 42nd St,,Unknown
471,Grand Central - 42nd St,,Lower Mezzanine To Upper Mezzanine (Bowery)
49,Atlantic Ave,Pacific Street and Fourth Avenue,Street to D/N/R
49,Atlantic Ave,Hanson Place and Flatbush Avenue,B/Q/2/3/4/5/LIRR
49,Atlantic Ave,,"Middle Mezzanine To B,Q Platform"
49,Atlantic Ave,,"Mezzanine To Downtown 2,3 Platform"
49,Atlantic Ave,,"Mezzanine To 4, 5 Platform"
49,Atlantic Ave,,Street To Mezzanine
49,Atlantic Ave,,"Uptown 2, 3 Platform To Mezzanine"
49,Atlantic Ave,,Mezzanine To Uptown
49,Atlantic Ave,,Unknown
49,Atlantic Ave,,Mezzanine To Downtown
49,Atlantic Ave,,Lower Mezzanine To Upper Mezzanine
49,Atlantic Ave,,Lower Mezzanine To Street
49,Atlantic Ave,,Street To Mezzanine
